Composition,Temperature,Stage,Delta_Temperature,First_Temperature,Last_Temperature,Max_AtomicVolume,Max_CN,Max_CavityRadius,Max_Displacement,Max_Temperature,Mean_AtomicVolume,Mean_CN,Mean_CavityRadius,Mean_Displacement,Mean_Temperature,Median_AtomicVolume,Median_CN,Median_CavityRadius,Median_Displacement,Min_AtomicVolume,Min_CN,Min_CavityRadius,Min_Displacement,Min_Temperature,Std_AtomicVolume,Std_CN,Std_CavityRadius,Std_Displacement,Std_Temperature
6040,100,cooling,-36.714,371.627,334.913,7127.87,25.0,23.3495,0.0,377.898,34.59006421647414,13.025113008538423,3.4347762598359286,0.0,353.646135,10.668099999999999,13.0,2.375235,0.0,2.63296,1.0,1.44506,0.0,333.437,155.0269740696362,3.060660145655327,3.174941653095641,0.0,11.705803788617809
6040,150,equilibrium,95.588,204.593,300.181,7364.25,26.0,28.621,0.0,305.714,34.59006362715554,13.369830905742507,3.4517561300853843,0.0,284.21127,10.4006,13.0,2.366465,0.0,2.79897,1.0,1.44654,0.0,204.593,154.1052085382497,3.223268363274332,3.4643302692303046,0.0,28.424188750388083
6040,150,bed,31.56800000000004,301.27,332.838,4214.5,23.0,24.5933,0.0,334.778,34.59006540013393,12.331491712707182,3.6371948049556337,0.0,316.25082,11.8592,12.0,2.683585,0.0,2.72494,1.0,1.43477,0.0,298.557,123.64435848802079,3.1427232329917683,3.010590888064261,0.0,9.880961141061661
6040,150,laser,88.79999999999995,332.718,421.518,2666.98,24.0,25.1778,0.0,422.769,34.59006302109493,12.62765779340365,3.5474803273062108,0.0,376.18207500000005,11.2183,13.0,2.535235,0.0,2.69872,1.0,1.42529,0.0,329.826,125.93558322735383,3.1354762862528878,3.0348366595878162,0.0,25.68906869400462
6040,150,hold,1.9519999999999982,420.209,422.161,3007.98,24.0,24.175,0.0,431.653,34.59006322283609,12.701992298677382,3.5238897848652266,0.0,424.03931125,11.1565,13.0,2.4768499999999998,0.0,2.75195,1.0,1.46454,0.0,417.943,132.00892019323115,3.1098904133204455,3.1172511164751557,0.0,2.508977926800055
6040,150,cooling,-86.73599999999999,422.956,336.22,8342.16,24.0,22.3727,0.0,424.247,34.590066867570734,12.880964339527875,3.458670084547129,0.0,380.2513425,10.9145,13.0,2.4175649999999997,0.0,2.7239,1.0,1.47183,0.0,334.921,158.4522684803344,3.0829026795924506,3.0840671164119624,0.0,25.532973614312272
6040,200,equilibrium,95.588,204.593,300.181,7364.25,26.0,28.621,0.0,305.714,34.59006362715554,13.369830905742507,3.4517561300853843,0.0,284.21127,10.4006,13.0,2.366465,0.0,2.79897,1.0,1.44654,0.0,204.593,154.1052085382497,3.223268363274332,3.4643302692303046,0.0,28.424188750388083
6040,200,bed,31.56800000000004,301.27,332.838,4214.5,23.0,24.5933,0.0,334.778,34.59006540013393,12.331491712707182,3.6371948049556337,0.0,316.25082,11.8592,12.0,2.683585,0.0,2.72494,1.0,1.43477,0.0,298.557,123.64435848802079,3.1427232329917683,3.010590888064261,0.0,9.880961141061661
6040,200,laser,136.69,332.718,469.408,2666.98,24.0,25.1778,0.0,469.408,34.59006302109493,12.62765779340365,3.5474803273062108,0.0,399.71026,11.2183,13.0,2.535235,0.0,2.69872,1.0,1.42529,0.0,329.831,125.93558322735383,3.1354762862528878,3.0348366595878162,0.0,40.26443176397239
6040,200,hold,0.3299999999999841,468.601,468.931,4272.83,23.0,22.8522,0.0,482.61,34.59006443746861,12.600033484011384,3.544920412690441,0.0,473.8027425,11.242750000000001,13.0,2.52659,0.0,2.707,1.0,1.45208,0.0,466.871,135.32064473465502,3.11502603362671,3.031006135560036,0.0,2.76505957924775
