Temperature,Stage,Position,CoordAvg,VolAvg,CavAvg,DispAvg,Composition
200,bed,Start,12.30697171680778,37.52112134119979,3.769001420464782,0.0,5050
200,bed,Middle,12.43397586020537,37.52112117546388,3.780252511259233,3.879844919960368,5050
200,bed,End,12.44388398486759,37.52111934156007,3.763437813907404,5.796944952693208,5050
200,laser,Start,12.44388398486759,37.52111933795712,3.763437808502972,0.0,5050
200,laser,Middle,12.58692127544587,37.52112102684201,3.743565950279229,3.697289354539723,5050
200,laser,End,12.46261934786525,37.52112194919834,3.767590109890111,5.631462057917492,5050
200,hold,Start,12.46261934786525,37.52112219239777,3.767590325166637,0.0,5050
200,hold,Middle,12.68420104485678,37.52112085480093,3.741668717348225,4.921312029454152,5050
200,hold,End,12.72401369122681,37.52112119077643,3.689745208070618,6.461566295892633,5050
200,cooling,Start,12.72401369122681,37.52112118357053,3.689745200864709,0.0,5050
200,cooling,Middle,12.89641506034949,37.52112304089353,3.664112030264817,2.514280333120158,5050
200,cooling,End,13.12466222302288,37.52112347234732,3.623272806701495,3.200491564673032,5050
250,equilibrium,Start,13.51828499369483,37.52112197622049,3.569698453431814,0.0,5050
250,equilibrium,Middle,12.54440641325887,37.52112687803999,3.692314542424789,3.664601064492885,5050
250,equilibrium,End,12.30697171680778,37.52112149972978,3.769001424968474,6.288120935597189,5050
250,bed,Start,12.30697171680778,37.52112134119979,3.769001420464782,0.0,5050
250,bed,Middle,12.43397586020537,37.52112117546388,3.780252511259233,3.879844919960368,5050
250,bed,End,12.44388398486759,37.52111934156007,3.763437813907404,5.796944952693208,5050
250,laser,Start,12.44388398486759,37.52111933795712,3.763437808502972,0.0,5050
250,laser,Middle,12.48171500630517,37.52112175373806,3.753295578274185,3.74882518197622,5050
250,laser,End,12.34318140875518,37.52112179156909,3.791331070077463,5.922390066384436,5050
250,hold,Start,12.34318140875518,37.52112179066835,3.791331069176724,0.0,5050
250,hold,Middle,12.37488740767429,37.52112367501351,3.761731288056206,5.169481587011349,5050
250,hold,End,12.47667087011349,37.52111863087732,3.75761308773194,7.308935798144479,5050
250,cooling,Start,12.47667087011349,37.52111814537921,3.757613492163574,0.0,5050
250,cooling,Middle,12.71266438479553,37.52112304089354,3.725493992974239,2.87027612529274,5050
250,cooling,End,12.97604035308953,37.52112115114393,3.682775752116736,3.681669555044136,5050
300,equilibrium,Start,13.51828499369483,37.52112197622049,3.569698453431814,0.0,5050
300,equilibrium,Middle,12.54440641325887,37.52112687803999,3.692314542424789,3.664601064492885,5050
300,equilibrium,End,12.30697171680778,37.52112149972978,3.769001424968474,6.288120935597189,5050
300,bed,Start,12.30697171680778,37.52112134119979,3.769001420464782,0.0,5050
300,bed,Middle,12.43397586020537,37.52112117546388,3.780252511259233,3.879844919960368,5050
300,bed,End,12.44388398486759,37.52111934156007,3.763437813907404,5.796944952693208,5050
300,laser,Start,12.44388398486759,37.52111933795712,3.763437808502972,0.0,5050
300,laser,Middle,12.49000180147721,37.52112440190956,3.762092186993335,3.792409132958025,5050
300,laser,End,12.21815889029004,37.52112271392541,3.821565614303729,6.071853088272383,5050
300,hold,Start,12.21815889029004,37.52112261124122,3.821565634119978,0.0,5050
300,hold,Middle,12.11979823455233,37.52112191226806,3.848380614303729,6.197654774815349,5050
300,hold,End,12.31039452350928,37.52112293460637,3.82659317240137,9.0299521778058,5050
300,cooling,Start,12.31039452350928,37.52112265087371,3.82659292649973,0.0,5050
300,cooling,Middle,12.473248063412,37.5211195099982,3.758305897135652,3.125898548856062,5050
300,cooling,End,12.79949558638083,37.52112335795352,3.705830425148622,4.029695229057827,5050
350,equilibrium,Start,13.51828499369483,37.52112197622049,3.569698453431814,0.0,5050
350,equilibrium,Middle,12.54440641325887,37.52112687803999,3.692314542424789,3.664601064492885,5050
350,equilibrium,End,12.30697171680778,37.52112149972978,3.769001424968474,6.288120935597189,5050
350,bed,Start,12.30697171680778,37.52112134119979,3.769001420464782,0.0,5050
350,bed,Middle,12.43397586020537,37.52112117546388,3.780252511259233,3.879844919960368,5050
350,bed,End,12.44388398486759,37.52111934156007,3.763437813907404,5.796944952693208,5050
350,laser,Start,12.44388398486759,37.52111933795712,3.763437808502972,0.0,5050
350,laser,Middle,12.37344622590524,37.52112321653756,3.759090498108449,3.907754833813727,5050
350,laser,End,12.09169519005585,37.52112160151324,3.820715509818051,6.533403833003063,5050
350,hold,Start,12.09169519005585,37.52112131778058,3.820715531435777,0.0,5050
350,hold,Middle,12.01170960187354,37.52112394523509,3.893002737344623,6.704285997027561,5050
